#Software: SHOUTcast
#Version: 2.2.2.123
#Fields: c-ip c-dns date time cs-uri-stem c-status cs(User-Agent) sc-bytes x-duration avgbandwidth
66.87.99.68 66.87.99.68 2014-08-24 00:25:41 /stream?title=Unknown 200 stagefright%2F1.2%20%28Linux%3BAndroid%204.1.2%29 243201 13 149662
186.84.92.73 186.84.92.73 2014-08-24 01:15:28 /stream?title=Unknown 200 VLC%2F2.0.3%20LibVLC%2F2.0.3 240545 9 213817
31.165.139.228 31.165.139.228 2014-08-24 02:22:25 /stream?title=Unknown 200 RadioAlarm%2F3.0.4%20CFNetwork%2F672.1.15%20Darwin%2F14.0.0 138986 20 55594
85.212.7.214 85.212.7.214 2014-08-24 03:08:57 /stream?title=Unknown 200 Mozilla%2F5.0%20%28Windows%20NT%206.3%3B%20WOW64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F36.0.1985.143%20Safari%2F537.36 28914747 1443 160303
94.217.31.161 94.217.31.161 2014-08-24 03:40:00 /stream?title=Unknown 200 Mozilla%2F4.0%20%28compatible%3B%20MSIE%207.0%3B%20Windows%20NT%206.1%3B%20WOW64%3B%20Trident%2F7.0%3B%20SLCC2%3B%20.NET%20CLR%202.0.50727%3B%20.NET%20CLR%203.5.30729%3B%20.NET%20CLR%203.0.30729%3B%20Media%20Center%20PC%206.0%3B%20MAAU%3B%20.NET4.0C%3B%20.NET4.0E%29 256506 10 205204
81.9.246.159 81.9.246.159 2014-08-24 04:24:34 /stream?title=Unknown 200 WinampMPEG%2F5.66%2C%20Ultravox%2F2.1 0 0 0
81.9.246.159 81.9.246.159 2014-08-24 04:24:34 /stream?title=Vibronics%20-%20Fliying%20Dub 200 WinampMPEG%2F5.66%2C%20Ultravox%2F2.1 45936 0 0
176.24.37.150 176.24.37.150 2014-08-24 04:26:44 /stream?title=Unknown 200 Mozilla%2F5.0%20%28PlayBook%3B%20U%3B%20RIM%20Tablet%20OS%202.1.0%3B%20en-US%29%20AppleWebKit%2F536.2%2B%20%28KHTML%2C%20like%20Gecko%29%20Version%2F7.2.1.0%20Safari%2F536.2%2B 349046 15 186157
81.9.246.159 81.9.246.159 2014-08-24 04:27:54 /stream?title=Hugh%20Mundell%20-%20Great%20Tribulation 200 WinampMPEG%2F5.66%2C%20Ultravox%2F2.1 3986663 200 159466
81.9.246.159 81.9.246.159 2014-08-24 04:31:28 /stream?title=Bob%20Marley%20%26%20The%20Wailers%20-%20Misty%20Morning 200 WinampMPEG%2F5.66%2C%20Ultravox%2F2.1 4322201 214 161577
81.9.246.159 81.9.246.159 2014-08-24 04:34:54 /stream?title=Johnny%20Osbourne%20-%20Man%20Of%20Jahoviah 200 WinampMPEG%2F5.66%2C%20Ultravox%2F2.1 4185032 206 162525
81.9.246.159 81.9.246.159 2014-08-24 04:38:09 /stream?title=Eek-A-Mouse%20-%2016%20Triple%20Love 200 WinampMPEG%2F5.66%2C%20Ultravox%2F2.1 3944139 195 161810
81.9.246.159 81.9.246.159 2014-08-24 04:41:01 /stream?title=Hugh%20Mundell%20-%20One%20Jah%2C%20One%20Aim%2C%20One%20Destiny 200 WinampMPEG%2F5.66%2C%20Ultravox%2F2.1 3477815 172 161758
186.84.92.73 186.84.92.73 2014-08-24 04:46:00 /stream?title=Unknown 200 Mozilla%2F5.0%20%28Windows%20NT%206.2%3B%20WOW64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F36.0.1985.143%20Safari%2F537.36 432829264 21691 159634
81.9.246.159 81.9.246.159 2014-08-24 04:46:01 /stream?title=Gussie%20P%20%26%20Roots%20Radics%20-%20Work%20On%20Mr%20Farmer%20Dub 200 WinampMPEG%2F5.66%2C%20Ultravox%2F2.1 5271351 300 140569
